STEP 0; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 0 resources out of10
STEP 862; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 1 }. Found 2 resources out of10
STEP 863; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 0 }. Found 2 resources out of10
STEP 864; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 4 }. Found 2 resources out of10
STEP 865; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 2 }. Found 2 resources out of10
STEP 866; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 4 }. Found 2 resources out of10
STEP 867; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 1 }. Found 2 resources out of10
STEP 868; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 869; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 6 }. Found 2 resources out of10
STEP 870; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 6 }. Found 2 resources out of10
STEP 871; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 1 }. Found 2 resources out of10
STEP 872; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 4 }. Found 2 resources out of10
STEP 873; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 1 }. Found 2 resources out of10
STEP 874; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 6 }. Found 2 resources out of10
STEP 875; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 2 }. Found 2 resources out of10
STEP 876; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 3 }. Found 2 resources out of10
STEP 877; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 878; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 0 }. Found 2 resources out of10
STEP 879; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 1 }. Found 2 resources out of10
STEP 880; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 0 }. Found 2 resources out of10
STEP 881; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 5 }. Found 2 resources out of10
STEP 882; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 0 }. Found 2 resources out of10
STEP 883; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 1 }. Found 2 resources out of10
STEP 884; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 1 }. Found 2 resources out of10
STEP 885; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 4 }. Found 2 resources out of10
STEP 886; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 887; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 1 }. Found 2 resources out of10
STEP 888; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 4 }. Found 2 resources out of10
STEP 889; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 3 }. Found 2 resources out of10
STEP 890; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 7 }. Found 2 resources out of10
STEP 891; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 6 }. Found 2 resources out of10
STEP 892; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 3 }. Found 2 resources out of10
STEP 893; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 3 }. Found 2 resources out of10
STEP 894; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 1 }. Found 2 resources out of10
STEP 895; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 4 }. Found 2 resources out of10
STEP 896; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 2 resources out of10
STEP 897; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 898; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 0 }. Found 2 resources out of10
STEP 899; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 3 }. Found 2 resources out of10
STEP 900; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 6 }. Found 2 resources out of10
STEP 901; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 902; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 2 resources out of10
STEP 903; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 904; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 0 }. Found 2 resources out of10
STEP 905; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 906; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 2 }. Found 2 resources out of10
STEP 907; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 3 }. Found 2 resources out of10
STEP 908; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 3 }. Found 2 resources out of10
STEP 909; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 2 }. Found 2 resources out of10
STEP 910; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 1 }. Found 2 resources out of10
STEP 911; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 0 }. Found 2 resources out of10
STEP 912; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 1 }. Found 2 resources out of10
STEP 913; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 914; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 2 }. Found 2 resources out of10
STEP 915; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 3 }. Found 2 resources out of10
STEP 916; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 917; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 0 }. Found 2 resources out of10
STEP 918; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 1 }. Found 2 resources out of10
STEP 919; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 1 }. Found 2 resources out of10
STEP 920; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 3 }. Found 2 resources out of10
STEP 921; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 4 }. Found 2 resources out of10
STEP 922; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 0 }. Found 2 resources out of10
STEP 923; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 3 }. Found 2 resources out of10
STEP 924; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 0 }. Found 2 resources out of10
STEP 925; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 926; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 2 resources out of10
STEP 927; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 3 }. Found 2 resources out of10
STEP 928; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 4 }. Found 2 resources out of10
STEP 929; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 930; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 4 }. Found 2 resources out of10
STEP 931; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 5 }. Found 2 resources out of10
STEP 932; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 2 }. Found 2 resources out of10
STEP 933; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 4 }. Found 2 resources out of10
STEP 934; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 3 }. Found 2 resources out of10
STEP 935; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 1 }. Found 2 resources out of10
STEP 936; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 1 }. Found 2 resources out of10
STEP 937; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 2 resources out of10
STEP 938; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 0 }. Found 2 resources out of10
STEP 939; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 1 }. Found 2 resources out of10
STEP 940; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 941; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 2 }. Found 2 resources out of10
STEP 942; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 2 resources out of10
STEP 943; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 1 }. Found 2 resources out of10
STEP 944; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 0 }. Found 2 resources out of10
STEP 945; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 946; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 6 }. Found 2 resources out of10
STEP 947; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 948; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 0 }. Found 2 resources out of10
STEP 949; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 4 }. Found 2 resources out of10
STEP 950; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 951; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 952; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 2 resources out of10
STEP 953; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 954; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 5 }. Found 2 resources out of10
STEP 955; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 5 }. Found 2 resources out of10
STEP 956; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 5 }. Found 2 resources out of10
STEP 957; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 2 }. Found 2 resources out of10
STEP 958; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 0 }. Found 2 resources out of10
STEP 959; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 1 }. Found 2 resources out of10
STEP 960; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 0 }. Found 2 resources out of10
STEP 961; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 3 }. Found 2 resources out of10
STEP 962; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 2 }. Found 2 resources out of10
STEP 963; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 3 }. Found 2 resources out of10
STEP 964; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 0 }. Found 2 resources out of10
STEP 965; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 966; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 2 }. Found 2 resources out of10
STEP 967; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 2 resources out of10
STEP 968; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 4 }. Found 2 resources out of10
STEP 969; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 970; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 2 }. Found 2 resources out of10
STEP 971; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 972; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 2 resources out of10
STEP 973; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 2 }. Found 2 resources out of10
STEP 974; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 3 }. Found 2 resources out of10
STEP 975; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 1 }. Found 2 resources out of10
STEP 976; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 977; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 5 }. Found 2 resources out of10
STEP 978; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 2 }. Found 2 resources out of10
STEP 979; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 980; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 6 }. Found 2 resources out of10
STEP 981; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 6 }. Found 2 resources out of10
STEP 982; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 2 }. Found 2 resources out of10
STEP 983; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 984; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 6 }. Found 2 resources out of10
STEP 985; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 4 }. Found 2 resources out of10
STEP 986; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 4 }. Found 2 resources out of10
STEP 987; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 3 }. Found 2 resources out of10
STEP 988; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 3 }. Found 2 resources out of10
STEP 989; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 990; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 2 resources out of10
STEP 991; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 4 }. Found 2 resources out of10
STEP 992; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 993; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 7 }. Found 2 resources out of10
STEP 994; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 1 }. Found 2 resources out of10
STEP 995; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 2 resources out of10
STEP 996; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 4 }. Found 2 resources out of10
STEP 997; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 998; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 6 }. Found 2 resources out of10
STEP 999; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 1000; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 0; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 0 resources out of10
STEP 1; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 6 }. Found 0 resources out of10
STEP 2; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 6 }. Found 0 resources out of10
STEP 3; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 1 resources out of10
STEP 4; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 6 }. Found 1 resources out of10
STEP 5; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 1 resources out of10
STEP 6; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 1 resources out of10
STEP 7; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 5 }. Found 1 resources out of10
STEP 8; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 4 }. Found 1 resources out of10
STEP 9; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 3 }. Found 1 resources out of10
STEP 10; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 2 }. Found 1 resources out of10
STEP 11; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 1 resources out of10
STEP 12; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 0 }. Found 1 resources out of10
STEP 13; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 1 resources out of10
STEP 14; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 1 resources out of10
STEP 15; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 1 resources out of10
STEP 16; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 1 resources out of10
STEP 17; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 4 }. Found 1 resources out of10
STEP 18; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 3 }. Found 1 resources out of10
STEP 19; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 2 }. Found 1 resources out of10
STEP 20; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 1 }. Found 1 resources out of10
STEP 21; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 0 }. Found 1 resources out of10
STEP 22; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 0 }. Found 1 resources out of10
STEP 23; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 1 resources out of10
STEP 24; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 4 }. Found 1 resources out of10
STEP 25; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 4 }. Found 1 resources out of10
STEP 26; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 1 resources out of10
STEP 27; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 5 }. Found 1 resources out of10
STEP 28; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 1 resources out of10
STEP 29; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 3 }. Found 1 resources out of10
STEP 30; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 2 }. Found 1 resources out of10
STEP 31; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 1 }. Found 1 resources out of10
STEP 32; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 0 }. Found 1 resources out of10
STEP 33; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 1 resources out of10
STEP 34; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 0 }. Found 1 resources out of10
STEP 35; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 2 }. Found 1 resources out of10
STEP 36; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 4 }. Found 1 resources out of10
STEP 37; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 1 resources out of10
STEP 38; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 7 }. Found 2 resources out of10
STEP 39; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 7 }. Found 2 resources out of10
STEP 40; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 41; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 42; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 43; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 44; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 3 }. Found 2 resources out of10
STEP 45; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 3 }. Found 2 resources out of10
STEP 46; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 47; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 1 }. Found 2 resources out of10
STEP 48; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 49; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 50; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 2 }. Found 2 resources out of10
STEP 51; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 52; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 53; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 54; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 2 }. Found 2 resources out of10
STEP 55; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 1 }. Found 2 resources out of10
STEP 56; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 3 }. Found 2 resources out of10
STEP 57; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 58; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 1 }. Found 2 resources out of10
STEP 59; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 60; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 61; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 3 }. Found 2 resources out of10
STEP 62; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 0 }. Found 2 resources out of10
STEP 63; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 3 }. Found 2 resources out of10
STEP 64; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 2 resources out of10
STEP 65; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 2 }. Found 2 resources out of10
STEP 66; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 67; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 68; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 1 }. Found 2 resources out of10
STEP 69; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 2 }. Found 2 resources out of10
STEP 70; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 71; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 3 }. Found 2 resources out of10
STEP 72; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 73; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 5 }. Found 2 resources out of10
STEP 74; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 0 }. Found 2 resources out of10
STEP 75; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 2 resources out of10
STEP 76; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 6 }. Found 2 resources out of10
STEP 77; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 78; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 3 }. Found 2 resources out of10
STEP 79; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 4 }. Found 2 resources out of10
STEP 80; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 81; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 82; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 83; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 2 resources out of10
STEP 84; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 6 }. Found 2 resources out of10
STEP 85; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 5 }. Found 2 resources out of10
STEP 86; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 4 }. Found 2 resources out of10
STEP 87; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 3 }. Found 2 resources out of10
STEP 88; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 2 }. Found 2 resources out of10
STEP 89; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 1 }. Found 2 resources out of10
STEP 90; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 0 }. Found 2 resources out of10
STEP 91; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 92; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 93; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 2 resources out of10
STEP 94; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 95; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 96; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 3 }. Found 2 resources out of10
STEP 97; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 3 }. Found 2 resources out of10
STEP 98; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 1 }. Found 2 resources out of10
STEP 99; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 0 }. Found 2 resources out of10
STEP 100; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 5 }. Found 2 resources out of10
STEP 101; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 102; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 103; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 3 }. Found 2 resources out of10
STEP 104; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 5 }. Found 2 resources out of10
